Title,Author,Date,Rating,Content
Annoying but Honest,apnwmom,08/31/2022,2 Stars,"I wish Anthony would get to the point. These episodes could be cut 75%. The rambling and repeating himself is so annoying! Please just deliver the facts! I gave two stars because I believe all of his information, he speaks truth!"
Too long and rambling,terriw1117,08/28/2022,1 Star,There are some nuggets of good information in here but it takes him too long to get to it and some of the stories are ridiculous and not even really related to the podcast. Can’t listen any longer.
Medical medium saves lives,mare~,08/26/2022,5 Stars,"Anthony William has dedicated his entire life to help the unwell rise up out of the ashes. His information is divine. We, along with millions other listeners have healed from symptoms that doctors don’t even understand the root cause of. We will always hold tremendous gratitude for his life saving books and podcasts. 💜🙏🏻 God Bless AW and SOC."
So helpful,heartfocusedhealing,08/24/2022,5 Stars,"The Medical Medium information is wonderfully nuanced and it just makes sense. It’s so helpful to understand how things have gotten completely distorted in the mainstream. Such as… how did foods like banana, potato, avocado and honey become the enemy, yet unproductive and dangerous health trends (radical fat diet) are widely accepted? This is information you’re not going to hear elsewhere and it just might save your life!"
Avocado: are you avocado toast?,AbbyMinx,08/20/2022,5 Stars,"I am so impressed with the body of knowledge of the Medical Medium and SOC. Thank you so much for all that you do. I was not sure how I was going to make it, but thanks to your information I think I now have a better shot at a healthy life. Please don’t ever stop what you do. You’re the absolute best out there. To anyone out there who wants real healing: Listen to Anthony William, make sure you read his books, and do what he says! Yvette H."
Great info but needlessly long to get the info,suziemilano,08/21/2022,4 Stars,"So far I love Anthony’s work and information. I am curious about alot of things and want to listen to the podcasts but they are, in my opinion, way too long with too many side info to fill up time that isn’t actually helpful.  Alot of examples of life scenarios are used or analogies and I would prefer a shorter introduction and to get the point of what we need to know. I prefer the books at this point."
Helpful for all areas in life,Never Pay Retail,08/18/2022,5 Stars,"Listening to each of these podcasts here are proving to be truly helpful in my health improvements. It’s wow. How can just listening to a podcast be so helpful to me in my healing and health journey?! It’s like knowing what’s going on that’s causing health declines is critical to know. I’ve made many small and big adjustments in my daily routines. Now I see many quick little improvements and some Big health improvements since making these adjustments posed here by Anthony William. This has helped more than reading health journals and articles. With all the small and big improvements, I feel and believe I can heal. I’m not all the way better, I mean. But the improvements are to much and too big for me to ignore. Thank you Anthony for sharing your gift with people you don’t know or will ever meet. I mean, there’s nothing you really get from me but maybe a review and my gratitude. Seems one sided and I’m the big beneficiary. With gratitude 🙏🏽❤️ Constance"
The best information for perfect health,Knicknet,08/15/2022,5 Stars,Medical Medium delivers information not available anywhere else. His information changes your life. It’s amazing what eating natural fruits and vegetables do for you
MVP of battle to save humanity =AW,fedasinwellfed,08/12/2022,5 Stars,"Forever full of thanks for AW and SOC for the MM information. Helped me identify then systematically heal a number of viral induced “autoimmune” disorders. Celery juice, heavy metal smoothie, all the fruits, salads, potatoes galore, every single day for years. The kingdom of nature heals and celery and wild blueberries are the king and queens."
What An Angel,luvebig22,08/11/2022,5 Stars,Thank you for all the information you provide to the world❤️❤️😇😇 you are my hope for my healing🦋
This podcast is a must for truth seekers!!,Gharris0813,08/11/2022,5 Stars,"The mediations have helped heal me on a deep emotional and spiritual level. The more I do them, the better I feel!! This is the place to go to solve ANY of your health issues, including mental health. May god bless this man and all that he does!"
Anthony is the coolest human ever,cocontz,08/11/2022,5 Stars,"Medical Medium’s unique & valuable information turned my ENTIRE life around. 🙏 From the tens of thousands (almost embarrassing) dollars spent at the Lyme doctor, to the endless soul searching… I’m happily free from those chases since following the information for some years now. I especially love these podcasts! It’s like an extracurricular bonus to the books that’s full of interesting tidbits, too. I just love how he gives it to us in more ways than one. Having healed my worst symptoms and then some, my heart is filled with endless gratitude for you, AW. 🤍"
Life changing information,nelsoulbeautiful,08/10/2022,5 Stars,"This podcast is EVERYTHING you didn’t know you need in life but absolutely do. I was 25 when my health started to decline rapidly. Eventually, one symptom led to another and before I could even get an handle on things I was overwhelmed with 30 plus symptoms. The plans I had at that time were completely derailed. Anthony and SOC information was the answer to my prayers. Listening to Anthony is like having that good friend you can call on for the best, most wise, well rounded, and sound advice. I’ve watched my life and many of those around me transform with the helpful tools found in the MM book series, website, podcast, etc. You no longer have to navigate the cess pool of “health” information found out there in the mainstream. Honestly, I wouldn’t even call this a heath, wellness, or lifestyle podcast- it’s so much greater."
The BEST!!,hdhurjrbbf,08/08/2022,5 Stars,"Absolutely awesome and THE MOST INVALUABLE information EVER for your HEALTH on this planet! SO, SO, SO GRATEFUL❤️ And as far as the Meditations: I do two or three of these meditations daily! They’re awesome and both relaxing and healing."
Saved my life!,MMsavedMary,08/05/2022,5 Stars,I was borne addicted to drugs. My parents were drug addicts- they both died of drug overdose. I stared doing drugs around 10 and @ 47 I’m finally 100 % clean & sober due to following medical medium!!!!!!!!!!
Healed so many chronic symptoms,My Health is back!,08/05/2022,5 Stars,Have been following MM for about 5 years now.  It’s possible to heal if you have the correct information.  This is the answer you’ve been looking for.
Amazing Podcasts,Mr. Light Sleeper,08/02/2022,5 Stars,Life changing information and he does it in such an entertaining way. So glad he’s putting new episodes out. No one out there like him and he really is a gift to those willing to set aside their pre-conceived ideas and beliefs. Come with an open mind and discover information that will change your outlook forever in the best way.
This is the Holy Grail. You’ve found it.,ingreatgratitude,08/02/2022,5 Stars,"All the doctors, scientists, and top spiritual leaders in the world that I’ve known over all my years can’t hold a candle to the pure God-given truth that Anthony William shares. It brings tears to my eyes when I look back and realize this information not only saved my life but likely has saved my soul. This is a light at the end of a long dark tunnel. This new series is even more advanced than what he’s already shared. Listen to the Chemtrails episode, even if you think you know about chemtrails, play it over and over again, and be blown away with each hidden gem of spiritual truth. And then experience the Breathing Light Meditation … it’s a spiritual healing from the Holy Spirit that builds on itself over time. I was sobbing out of the gate 😭🙏🏻 No word is wasted. Truth is power. In great gratitude. 🙏🏻"
Healing Journey,Laura Badger,07/20/2022,5 Stars,"Anthony has taught me how to eat to heal. I have been able to move the needle on over a dozen symptoms that no other person has been able to move. It takes perseverance and bravery to change eating habits, but the journey is eye-opening and actually works. I see this world so differently with MM in my life and can confidently say I hold the power to my healing! In a world where information is endless, the quality of this information is priceless. Thank you AW and SoC."
Unfortunately not worth the listen,CS1463,07/23/2022,2 Stars,"I have all of the Medical Mediums books and I’m always eager to see what new information he comes out with. However, unfortunately, his podcast leaves much to be desired. The amount of information actually provided could fit into a 10 minute segment. Most of this hour long podcast is fear baiting, theatrics, and odd and grossly inaccurate assumptions of how “we feel about ourselves” or conversations we’ve supposedly had with ourselves and our healthcare providers. It’s too much. I tried so hard to listen, but after 4 episodes of him droning on and on and me rolling my eyes every other sentence and barely getting anything of use out of it, I had to move on. I’ll gladly keep taking his health advice, but via his well written and to the point books and Instagram posts."
Lifesaving Love from Above,"Healing my Mind, Body and Soul",07/19/2022,5 Stars,"I am eternally grateful to God and Anthony William for sharing the MM information with the world.  MM is saving my life among the many hundreds of thousands of others who have been fortunate to find this also! Please listen closely. All of AW’s books, podcasts and livestreams are all gifts of true health, love and freedom in a world being led"
THE TRUTH SHALL HEAL YOU & SET YOU FREE!,Noell Bulka,07/15/2022,5 Stars,"MM, aka, Anthony William and Spirit of Compassion have changed my life. I am healing and walking bc of their incredible medical and spiritual awakening information. You cannot find this information anywhere. After years of multiple narcotic drugs and steroids and 3 back surgeries nothing could take the pain away. I have healed over 20 symptoms through a high raw plant based lifestyle with Vimergy supplements and healing herbal teas. The biggest change was my emotional and spiritual not just physical. I feel like a Phoenix rising out of the ashes of darkness and knowing who I am truly am and my place in the world. They brought me back to God and now I AM an Initiate. The medical industry prescribes bandaids and no solutions of healing to the chronically ill. Medical Medium and Spirit of Compassion provides a special Trinity (emotional, physical and spiritual) life healing roadmap. Thank you, thank you, thank you for giving me my life back! God bless you! These podcasts are the real truth and it is time for mankind to awaken! Know you CAN and WILL heal! Have faith and call the angel devas in to help you. This critical healing information is the world’s blessing. Forever grateful and full of love and Divine Compassion for you all. God bless you Anthony for sacrificing your life to the service of man and BEING such a loving and beautiful soul. 🙏"
AW saved my life,dgorenchan,07/15/2022,5 Stars,"Medical medium, not only helped me w his protocol in medical medium he saved my life!
I have ms and I am not doing the steroid DMT, I am doing his vitamins protocol for medical medium book.
I just finished celery juice and my husband and I are juicing for over a week.
I have 3 different dr test that shows signs of healing my fatty liver is reversing, my cells are healing and my brain is excellent my MS specialist said what ever protocol your doing keep doing it.
From 9 months of MM vitamins protocol !
Thank you, AW medical medium🙏👆☦️😊❤️"
Amazing life saving info,Sboch,07/13/2022,5 Stars,I LOVE all the podcasts and books! This information is life saving and so appreciated!! Thank you
"Love it, mostly…",valandvin,07/14/2022,4 Stars,"Love the info! Could definitely do without so much of the silly voices, storytelling. Stick to the info and you’re golden."
Finally a compassionate truth teller!,alxrco,07/01/2022,5 Stars,For those giving one star ratings I don’t think you’re sick enough to appreciate AW’s information. Best part is if you ever get sick enough to actually try this info/ protocols for self healing it will be here ready to heal you like it healed me from over 20 symptoms and bed ridden of MS! Grateful for this info for it saved my life! 144
"Good info, but it is like pulling teeth to get to it…",HJBAK,07/10/2022,2 Stars,"The info is excellent! But why doesn’t someone edit this and get to the point without torturing us. This goes on and on, and tries to be theatrical, to no avail. I have read some of his books and followed the protocols. I got excellent results! But cannot stand to listen to Anthony. He just repeats himself and assumes we are all not very smart. Anyways, he has great material, just wish someone edited for him and made this easier to listen to.."
There’s more in this world unknown than known,Businka2012,06/20/2022,5 Stars,"Thanks Anthony for sharing the light, truth and inside information about nutrition, medical field and our spiritual world."
No more updates?,AMAZingAmazing007,05/30/2022,5 Stars,Why Such an excellent podcast paused?
Super thankful for this truth speaker,Daimoku speed Diva,05/01/2022,5 Stars,"10+ STARS!!!!!!!!!!!  Word of mouth is how I discovered AW and only because my friend was persistent in urging me to get with the program did I get to see for myself how truly amazing Medical Medium wisdom is.  

Even on a meager income, I manage to make it work with all the shopping for fresh produce, food prepping, stocking, meal prepping and inventory management. 

 If I wasn’t totally convinced of the efficacy of the protocols, I couldn’t find creative ways to make a way out of no way on such a modest budget.  Knowing the root causes behind mystery illnesses is worth more than gold!  I can’t rave enough about how awesome Medical Medium wisdom is!!!! 

Crying tears of joy for being told the truth of why I’m chronically unwell and how to finally heal!  Been practicing in earnest for almost 6 months and notice remarkable improvements in health.  Have quite a long journey but that’s perfectly fine because I’m on the right road!"
A gift from the heavens,pinket,04/26/2022,5 Stars,I am pretty new here and I am in awe of how much I have learned and applied to my life. I am grateful to Anthony and SOC for loving us so much. I can’t get enough.  I am very excited for the 2 new books about the brain AW just published. More gifts for us from source. E order ur now if you haven’t already.
Anthony William Is The Blessing Of Our Time!,Jes Selane,04/10/2022,5 Stars,"I am continually amazed at all the information Anthony and Spirit of Compassion share with us freely, to heal our lives mentally, physically and spiritually. I have found all the solutions I needed to what was going wrong in my life in Anthony’s books, and the gratitude I have is overwhelming.

Thank you so much Anthony for everything you do for us, and the sacrifices you make to get us this info from Heaven!"
Do your research,kfont66,04/21/2022,1 Star,PLEASE PLEASE research everything you take as the truth here. A lot is just SO WRONG! I can’t believe the amount of misinformation stated in this podcast.
The Real Deal,dharmalink,04/09/2022,5 Stars,The best and only source of real help for the chronically ill! End of story.
Great guy,Ahmad s ahmadi,04/01/2022,5 Stars,High quality content!
Such a fascinating Podcast,tmmgr,03/16/2022,5 Stars,"I have been listening and everything is really resonating with me. Thank you for this information, I just had a baby and was very thankful to find out I should avoid chocolate during my pregnancy. I also had a healthy pregnancy drinking celery juice."
Wow,lina.ava,02/26/2022,5 Stars,"Loved the pod cast , I’m glad god brought me here to listen. I really enjoyed the celery juice episode."
Unfounded Conspiracy Theorist,HannaHapoo,02/27/2022,1 Star,"As a Registered Nurse I like to explore all different kinds of healing modalities like alternative medicine etc to incorporate into my practice. After listening to one podcast for only 15 minutes I quickly identified that in the midst of some accurate information was a bunch of misinformation and conspiracies about “the industry,” designed to make us sick by releasing viruses made by egg protein and that it’s a huge secret! We all know that vaccines are created using egg embryos because thats a livable habitat for viruses! And guess what!? Vaccines are responsible for making viruses less virulent and less transmissible therefore decreasing the impact it has on human health. Also sometimes vaccines are FREE so it doesn’t make sense. Why would an industry create viruses knowing that another “industry” is shelling out millions of dollars to combat viruses FREE to the public, ultimately impacting the economy of EVERYONE living in that country. I will tell you that a lot of industries make a ton of money off of people who make or are forced to make unhealthy life style choices. So why don’t you talk about the food industry and link with obesity/heart disease and diabetes, pharmaceutical industry, oil industry, cosmetic industry and the list goes on. These are the real industries capitalizing on and contributing to human illness."
Anthony and Spirit are life savers,Donniethompson,02/10/2022,5 Stars,"Medical Medium information is not a fad or trend. If you learn the information and apply it correctly you can heal no matter what you have been through. Don’t cheat yourself out of healing. Take it one day at a time. Any little thing you do for your health is powerful! Take it from someone that searched high and low for answers for crippling depression, anxiety, acne, dermatitis, and skin rashes. This stuff works! I no longer have panic attacks and am able to get out of bed in the morning and feel excited and full of peace and happiness for the day ahead. My skin is healing and I look and feel more youthful than ever before! Anthony and spirit are a shining light in this world and I am so grateful to have found their information.  ❤️❤️❤️"
AW is the real thing!,EJB517,01/22/2022,5 Stars,AW and SOC (sprit of compassion) are just lights on this earth helping the chronically ill and not so chronically ill which is what I consider myself to be. I have low grade symptoms and started following AW after a year and a half of not getting pregnant. I have had many supervising things happens since implementing his protocols. I’m not perfect with it and am still healing but he is AMAZING!
Blown Away in a good way!,spunky_sightseer,01/10/2022,5 Stars,I learned so much about some of the chronic issues I have. This information is powerful. I am so thankful I found Medical Medium. These podcast episodes are a true awakening. It made sense when my allergy food test came back as being allergic to garlic and grapefruit. Anthony explains it perfect. Now I understand why the test reports I was allergic. At the tim I didn't know I had an overload of strep and mold in my system. But I was eating garlic and grapefruits daily. I'm thankful I kept eating garlic instead of listen to my naturopathic doc who recommended I stay away for garlic for a few months.
So grateful,jayanti treeman,12/29/2021,5 Stars,"Thank you Anthony and soc🥰what a blessing you are in my life and on this earth at this time !!wow not sure what I’d do had I not found u and read your first book. Since I’ve read all your books and listened to and watched almost every single video and podcast you’ve put out and am so happy and grateful to get to learn this knowledge of how my body works and how to heal. I share your information with all my friends and loved ones and can’t thank u enough for all that you do. I get it! I see u!! I’m here with u all the way. Love u sooo sooo much and hope to meet u in person some day. I have a dream of creating a farm and retreat center where people could come and cleanse and heal with your protocols with fruits, vegetables and herb right from the farm. I want to continue healing and promoting your work for the rest of my life absolutely"
I listen to AW everyday!,Lili corazon 7890,12/20/2021,5 Stars,"This is the most valuable information that you can get a hold of and take into your advantage. The podcast, the books and the recipes have changed me as a whole. Thank you AW and THANK YOU Spirit of Compassion."
"Good info, wish there was more of it",JacquiKP22222222,12/24/2021,4 Stars,"The info is definitely different, and when trying out the liver cleansing recommendations for my skin and mood issues, I do find that I am feeling a bit better and will continue. However, I feel like the show is just so much fluff with so much appealing to the listener, critiquing modern medicine, and promising to give more information in other shows or redirecting the listener to the book that I am left feeling it is not very worth it to listen to the show. I wish there was a focus more in-depth information on the “why and how” of both the workings of the body and how to actually eat and follow the protocols. It feels mostly like a teaser to advertise for the books if I’m being honest, but again don’t want to give it a low rating because I think the info might me helpful."
"Hearing truths for the first time hits your heart emotionally, spiritually, and physically.",itsmetam2018,12/18/2021,5 Stars,"This information is a gift from above. I cried the first time I read Thyroid Healing because it addressed every question I had that none of my Doctors could answer. I never accepted what Drs said about my body attacking itself. I wanted and demanded root causes which none of them were trained to find or address. 

Tests after tests, too many blood draws to count and the only answers they gave me were; its in your head, you look fine, you need a hysterectomy, we’re going to have to remove your thyroid, you can’t heal this on your own, medications for life and the breathing issues and physical exhaustion must be stress and anxiety, take medications etc. Aches, pains and so much more I was suffering and no one could help until I found Anthony Williams Books. (I didn’t take any of the Dr’s advice).

I now own all of his Books and they’re changing my life. I’m soaking up all the information like a sponge and I’m soooo grateful for this information from AW, SOC and all of the support communities assisting one another with Q&A’s all for free. I want to shout this information from the rooftops and wish the world would instantly have this information to save themselves and their loved ones from any/all health symptoms or chronic illnesses, etc.

I’ve been on it now for a little over 3.5 months and my energy and breathing are back to normal, I no longer think about my breathing because it comes naturally again now. I literally felt before like I was dying because I couldn’t breathe well, ran out of breath and all tests said I was fine. 

My thyroid nodules shrank about 50% in size and I had a lot of them, 6 big ones! I haven’t retested for anything because I had so many tests and xrays, MRI’s, CT Scans, bloodwork done and AW explains how bad these tests are for you so right now I’m feeling great and am gauging it by how I feel. I’ve lost a lot of weight and look amazing again, my face rash is getting some improvements, and a lot more improvements.

Some people dis his Books because he talks to spirt to get the information. To me I think that’s the coolest part, the information is love, pure love, its a gift. Besides those nah sayers haven’t been through a chronic illnesses where they felt left behind by Doctors with no help whatsoever. And if you read the Bible it talks about spirits all the time. So sadly some people don’t believe in what they can’t see on this planet but they should keep their dark negative opinions to themselves and let the information help those that really need it. 

Thank you God for this information! Happy Healing everyone, you can do it with these books."
Changed my health,AKM in California,11/11/2021,5 Stars,"I read Medical Medium in 2019 and started on the celery juice just to see what would happen. After 1 month, the persistent eczema on my hands was gone. After 2 months, the hot flashes were gone. After 3 months, the cystic acne around my mouth was gone. Now, two years later, the low back pain is also gone, the tonsil stones are gone, I’m almost down to my ideal weight and my sleep, focus, and energy level are loads better. This is the real deal. Read the books first, then listen to the podcasts for information about specific topics. Life changing."
Pseudoscience junk,Ltbeasy,11/23/2021,1 Star,Sham science with no real data or evidence to back up his claims and preying on desperate people
Completely agree with “grateful“,Bobbie's mom,11/05/2021,5 Stars,you “grateful“ you said exactly how I felt after listening to the bloodletting podcast. praying for Anthony Williams for safety and protection and covering through our Lord during these crazy times.
Misinformation,Orchid276,11/08/2021,1 Star,He is full of conspiracies and misinformation
The Full Moon Meditation,Carolina zago,10/21/2021,5 Stars,Excellent Anthony! Thank you for sharing with us your Spiritual Guide!
"Healing is possible, when you are ready",Jenny Lloyd Wolter,10/08/2021,5 Stars,"Anthony William is a gift from god, his healing words have saved my life and I intend to pass these gifts down to my son to help him navigate this increasingly difficult world. I do his various meditation every night and listen to his older podcasts and radio show for key tips that have helped me healing my debilitating chronic illnesses. I follow him on social media, read his books with gems of insight in them, and these podcasts round out my healing journey. I trust what he says. I didn’t at first but after following his advice for years I now do, because it works. Even if you don’t believe (or don’t want to believe), he is here for you when you are ready - many come to him desperate for answers after trying so many things that haven’t worked. It’s almost like you need to be desperate to actually make these difficult changes to your life. When you do, you will not be disappointed - nor alone. The medical medium community is loving and compassionate and here for you when you decide to join. Much love to AW, may the Angel of Mercy keep him safe and the Angle of Light forever shine a bright path for him. Thank you spirit of compassion for choosing AW to help us safe ourselves. We are eternally grateful!!"
Your #1 Health Guru,marianna pollak,10/04/2021,5 Stars,"Medical Medium aka Anthony William and Most High aka Spirit of Compassion are all you’ll ever need to succeed in healing your self physically, mentally, emotionally. Try it. You may just be surprised how easy it is.❤️ don’t waste your time with others out there. This right here is the real deal unadulterated truth you’ve been searching for. Doctors don’t know why anyone is sick but AW + SOC do. Been working on healing my Hashimoto’s successfully without needing medical intervention of any kid .Trust me! Block everyone else and the lies they tell you about caffeine, apple cider vinegar, nutritional yeast and so much more. Don’t fall into trendy health traps that make you sicker. Listen to Anthony and you will finally learn how to break free and heal. I promise!!❤️"
Best Health Podcast on Earth,seekingsimplicity,09/27/2021,5 Stars,"Finally I’m hearing the TRUTH about my health!!
 My body is healing Ménière’s Disease with vertigo and hearing loss, Hashimotos, Prediabetes and Morton’s Neuroma with this information from Anthony William! I’m off half the thyroid medication in one month of his protocol.  Thank you!!"
A gift of knowledge,Stargazer Lilies,09/25/2021,4 Stars,"Life-saving information!!!🔥You need to listen to this podcast! It’s jam-packed with truths on health you literally won’t be hear anywhere else!🤯 I rely on Medical Medium information to protect my health and life, and for those I love. It’s really that important, I can’t recommend this enough!!💖"
"Rambles, goes and on and on, too much fluff",Br20s,09/26/2021,1 Star,"I listen to his audiobook cleanse to heal. I haven’t tried his protocol yet, it’s confusing. Anthony just please get to the point!!! I think you could make your podcast 30 minutes, definitely  not more than an hour. You don’t have to say in every episode who has 20-30yrs, if you do, just say and don’t keep going on and on about it. Same with how you were 4 when you diagnosed your grandma. Don’t say how you don’t care about money, that you aren’t trying to sell supplements like some people. Yet you are always promoting some other non related to the topic, one of your books. His podcasts does basically just say what he has already said in his book cleanse to heal too. I have such a hard time listening to his episodes because I get so annoyed! And no, I don’t think it’s disrespectful for doctors to think that you are being ridiculous that they went to school for years yet you didn’t for health. That makes no sense! For him to be offended, even if his info is right"
the real deal,hannygus,09/23/2021,5 Stars,"I get why some people might not like the podcast. It’s a little weird.. and if you don’t know his background info it might shock you. HOWEVER, I am beyond grateful to MM for his information. READ HIS BOOKS! Start with the first one. I’m 26 and have suffered from chronic illness my entire life. Been to dozens of doctors of all kinds. Had over a hundred different tests done. And things kept getting worse until I found MM. I was desperate, hooked on prescriptions that were only making my conditions worse. I’m over a year into following his protocols and have never felt so good. I have more energy than I did even as a child. My physical symptoms as well as anxiety and depression have drastically improved. All around, my life has gotten better and better while applying his info. Be aware, it gets harder before it gets better. Look for him on Insta and find a health coach there who uses his protocols to help you through the journey."
Medical Medium is Fabulous- thank you!,debbggkk,08/26/2021,5 Stars,Thank you for saving my daughters and I lives. I really would be in bad shape of it was not for you. You are a real gift from God.
Sorry to be the Fly in the ointment,dapperdude7,09/05/2021,1 Star,"Well, it may be unfair to rate a podcast after only listening to one episode, but it’s an hour I will never get back in my life. And it was wasted on a man who sounded like a charlatan pretty quickly, at least to me.

I went to the eye health podcast since I am trying to learn as much about the eye as possible. And I was hoping to get new info here. 

Here’s a little clue for me : when somebody is so sure of the answers to questions that are undecided and difficult, such as questions about the eye and vision, very complex systems, you might ask how is it he has the answers.

And when said person claims it’s from “spirit light” , basically god talking to this man and revealing the “truth”, I only continued listening for amusement.

Ahhhhh…..but he also has a BOOK to sell offering these answers, and books that cast doubts on problems that all humans wish to be solved (eye issues are a big one) just don’t sell as well.

This man is peddling hope. But false hope is as bad as any. His disparagement of genes having any influence on eyesight falsely empowers the hopeful that magical change is possible.   Maybe he has expertise in some area  which another podcast covers but I highly doubt it. 

If you want to read a book that might change your life (but probably not your eyesight) breath by James Nestor is FANTASTIC! breathwork will change your health, your mental and ultimately your life."
Eternally grateful,kimmehyeah,08/23/2021,5 Stars,Anthony and Spirit have saved my life 💚💖🙏🏻✨
Spirit of compassion know that you were the one to give us this message,GrEvMa,07/30/2021,5 Stars,Anthony I have been getting in all this slowly because it it’s it’s rocking my world and Spirit of Compassion knew you were the one to deliver this message to us from above. I’ve been lost for so long and Anthony Williams it’s bringing me slowly back just wish I found you years ago Anthony I’m almost 62 and struggling with life health and plenty of manic depression my daughter has just currently been diagnosed with Lyme disease
❤️,~Mama Mary,08/18/2021,4 Stars,"I just found you on the Jay Shetty Podcast and found the information very interesting, so I decided to dive in and listen to some of the other information you have shared across platforms. I can’t wait to start juicing celery and to try some of your other recipes. I also plan to purchase your books as well! I believe in the healing power of the body! As Barbara O’Neil says: “the body can heal itself if it’s given the right conditions!” 
However, I am a bit put off by your constant need to boast about yourself. For some reason your ego is on full display on your YouTube channel… your content and knowledge is amazing… you don’t have to continuously take a defensive stance toward your critics. Just put the information out and let the results speak for themselves. In the long run that hurts your credibility and wounds the spirit that you are delivering in your content. Keep doing an amazing job at helping spread your message, but leave your ego behind.
Peace and love!"
Best information out there,Wild4Blueberries,07/22/2021,5 Stars,The best information on health out there hands down. So thankful to Anthony for teaching us about the potholes so we can recover our health and thrive. He also helps us understand the truth about the world we live in so we can make the best of our time while we are here.
Grateful for Anthony’s service.  💚,Intentful Spaces 💚,07/15/2021,5 Stars,"Grateful for Anthony’s service to deliver such divine information to us all. Everything he shares resonates deeply. The purity of his intentions to share powerful healing tools with us all is evident in both his words + energy. And the testimonies of healing are living proof of just how beneficial this information is. His encouragement to empower ourselves is absolutely invaluable.
-Melissa"
Medical medium,MCZRN6,07/15/2021,1 Star,"I'm very into authentic mediums and thought, as I'm an RN, that this one would be interesting.  Well, just listened to his podcast on blood draws and decided he's got a few screws missing and misses the mark totally here.  Irresponsible and dangerous stuff."
Thankful,deyanirafung,06/28/2021,5 Stars,I am so thankful I have found this live changing information.
You can heal! The Medical Medium truth and information is key!,DoreenConnorsArt,06/24/2021,5 Stars,"Think about the countless people that go about their lives not knowing this truth. The millions that never had the chance to heal. All the spiritual people telling you that it is your thoughts that make you sick. And on and on. Millions of people are healing their body, heart, spirit, and soul with the Medical Medium information... which is vast and life-giving. Don't listen to the naysayers, listen for yourself... you will want to know more!! And there is so much more to learn from the MM book series, podcasts, blog, The Healing Path, social media, interviews, and more! We are so blessed to be here on the planet with Anthony William and the Spirit of Compassion, at this time of massive awakening. 🌿💛🕊💗🌀"
Puppybird,Synchronicity333,06/21/2021,5 Stars,I believe in Anthony I know deep down inside he is a caring soul with a great gift! God has led me to this group after years of misery so it’s time to heal no matter how nasty celery juice may seem to some illness is by far worse this has my serious attention I am rejoicing because I really thought there was no hope at times & that is just the worst when you can’t reach your Mother Nature for revival
So dramatic!,tess ga garden,06/23/2021,2 Stars,"Oh my goodness! There was about 5 minutes of really great info but I had to try and skim through an hour of drama before I got to it! Honestly, I think he has great info to share. Just wish it was more to the point."
The Truth Shall Set You Free,bohemiansunchild,06/06/2021,5 Stars,"Thank you AW for your devotion to seeing us all heal, get our lives back and make this world a better place 💕"
Here you will find the refreshing - but sometimes difficult TRUTH,kh112233,05/27/2021,5 Stars,"Thank you AW & SOCMH for all you do to get the truth of our situation to us.  I hate to think where we would be without you! The information you share helped me with chronic constipation, chronic fatigue, brain fog, tinnitus, and a few other symptoms - after spending so much money on all kinds of supplements that never did anything! I had furniture full of supplements.  It was trial and error, vs. now i know what I am doing and why - and it makes all the difference."
Truth Seekers should listen Medical Medium Podcast and read Medical Medium’s Books,Oldfarmstudent,05/21/2021,5 Stars,"I love your Soul, brother Anthony William! I am shouting your greatness to All my friends, families and communities! Thank you , the Spirit of COMPASSION so very much from the depth of my heart and my soul 😇🙏🙏🙏💖💖💖. You are the God Sent gifts to heal the World. I bought ALL your books! They are true treasure of Life! My mom (high blood pressure, heart stop) and dad (Liver Disease, Hepatitis B, Diabetes, Alcohol) died young in Thailand because they did not know these spirit information; otherwise, they will live long. I now advocate to spread your messages. Truth Seekers should listen Medical Medium Podcast and read Medical Medium’s Books, With my deepest appreciation, Kathy COSMIC Alchemist🙏👍👍👍🙏"
Medical medium Chemtrails podcast,sheridan ter,05/20/2021,5 Stars,This is the most powerful and eye opening video Anthony has ever shared and I have heard them since the beginning! This is also very hard to know. I wish there was something more we could do besides share this. It’s incredibly difficult to stand by while know this is happening. I don’t know how Anthony has done this for 35 yrs! Thank you AW for the truth and for the strength to share this. Look forward to more critical information.
READ THIS IF YOU ARE NEW!!,Fia_Draws,05/17/2021,5 Stars,"I’m a vegan who has been listening for years it is amazing. If you are struggling with any condition Anthony will find a way! They are a amazing healer!! You want to meditate? This Podcast has that too! Please listen, it’s helped me a lot and it will help you too!"
Read his books & drank the celery juice BUT,sarasgotadog,05/19/2021,1 Star,The man isn’t a doctor or healthcare professional.  The arrogance is pretty mind blowing.  I had no idea how out there he was until revisiting his Instagram and browsing the episode titles.
Nothing but the truth,ricofromaviv,05/17/2021,5 Stars,"Thank GOD I found mm. no doctor could help me with my debilitating pain, IBS symptoms. At one point I spent 8 hrs/day in the bathroom from. Lost my job. Got neither answers nor helpful guidance from over a dozen doctors and naturopaths I visited. Finally, I tried mm info and have been slowly healing ever since. On my third year of ‘no foods’, daily CJ, HMDS, zinc, b12, vit C (and more), one 28 day cleans and twice on the super helpful mono (banana) eating. At times I was doubtful, because its a slow process, and there were occasional “steps back”, but overall it saved me! Got back to work. Switched off the air freshener at their bathroom (no one noticed 👻). Thank you AW&SOC for getting my life back ❤️"
